Time	"Time Code"	"Country Name"	"Country Code"	"Annual freshwater withdrawals, total (billion cubic meters) [ER.H2O.FWTL.K3]"	"Children out of school, primary [SE.PRM.UNER]"	"CO2 emissions (kt) [EN.ATM.CO2E.KT]"	"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]"	"Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]"	"Population, total [SP.POP.TOTL]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]"	"Urban population [SP.URB.TOTL]"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%) [SG.VAW.REFU.ZS]"
2013	"YR2013"	"Sierra Leone"	"SLE"	""	"14945"	"1191.775"	""	""	"50.401"	"25.2599817479407"	"6922079"	"59.964"	"72300"	""	"2771324"	"25.8"
2013	"YR2013"	"Singapore"	"SGP"	""	""	"55676.061"	"97.135650107361"	"1.54683232921262"	"82.2463414634147"	"18.9464080532948"	"5399162"	"0"	"717"	""	"5399162"	""
2013	"YR2013"	"Sint Maarten (Dutch part)"	"SXM"	""	""	"715.065"	""	""	""	""	"36607"	"0"	"34"	""	"36607"	""
2013	"YR2013"	"Slovak Republic"	"SVK"	""	""	"33091.008"	"22.2627481237287"	"5.27810899908817"	"76.4121951219512"	"19.0328644844062"	"5413393"	"45.86"	"49036"	""	"2930811"	""
2013	"YR2013"	"Slovenia"	"SVN"	"1.156"	"2332"	"14150.953"	"34.1071541526978"	"3.04257068758302"	"80.3219512195122"	"17.2201752747942"	"2059953"	"46.668"	"20270"	""	"1098614"	""
2013	"YR2013"	"Solomon Islands"	"SLB"	""	"25971"	"201.685"	""	""	"69.771"	"6.14194251211627"	"563513"	"78.567"	"28900"	""	"120778"	""
2013	"YR2013"	"Somalia"	"SOM"	""	""	"608.722"	""	""	"55.072"	"20.3565564560069"	"13132349"	"57.883"	"637660"	""	"5530951"	""
2013	"YR2013"	"South Africa"	"ZAF"	"15.5"	""	"466376.394"	"93.7426932920471"	"0.151268602483491"	"59.83"	"29.1153141734362"	"53767396"	"36.207"	"1219090"	""	"34299835"	""
2013	"YR2013"	"South Sudan"	"SSD"	""	""	"1448.465"	"99.5762711864407"	"0.423728813559322"	"55.294"	"35.379406789219"	"11177490"	"81.585"	"644330"	""	"2058335"	""
2013	"YR2013"	"Spain"	"ESP"	""	"24579"	"237034.88"	"40.0188313880154"	"26.4851036614614"	"83.0780487804878"	"9.74835979323607"	"46620045"	"20.867"	"505940"	""	"36891840"	""
2013	"YR2013"	"Sri Lanka"	"LKA"	""	"61804"	"15489.408"	"40.1230973966564"	"2.33718705813857"	"74.741"	"28.0975955873873"	"20585000"	"81.802"	"65610"	""	"3746058"	""
2013	"YR2013"	"St. Kitts and Nevis"	"KNA"	""	""	"223.687"	""	""	""	""	"53169"	"69.036"	"260"	""	"16463"	""
2013	"YR2013"	"St. Lucia"	"LCA"	""	""	"407.037"	""	""	"74.947"	"14.7671411230799"	"175660"	"81.539"	"620"	""	"32429"	""
2013	"YR2013"	"St. Martin (French part)"	"MAF"	""	""	""	""	""	"79.1707317073171"	""	"31264"	""	"54.4"	""	""	""
2013	"YR2013"	"St. Vincent and the Grenadines"	"VCT"	"0.0079"	"484"	"209.019"	""	""	"72.802"	"14.3011714253131"	"109320"	"49.846"	"390"	""	"54828"	""
2013	"YR2013"	"Sudan"	"SDN"	""	""	"15474.74"	"19.146246596655"	"0"	"63.712"	"54.7444252690447"	"36849918"	"66.493"	"1879357.5"	""	"12347302"	""
2013	"YR2013"	"Suriname"	"SUR"	""	"5049"	"1917.841"	"40.0641025641026"	"0"	"70.976"	"20.1320545914408"	"542540"	"33.86"	"163820"	""	"358836"	""
2013	"YR2013"	"Sweden"	"SWE"	""	"1980"	"44847.41"	"1.69442792636786"	"13.9363919728682"	"81.9560975609756"	"5.57937212314366"	"9600379"	"14.064"	"447420"	""	"8250182"	""
2013	"YR2013"	"Switzerland"	"CHE"	""	"1720"	"40226.99"	"1.18597206053551"	"3.22613504074505"	"82.7975609756098"	"12.036258304552"	"8089346"	"26.326"	"41290"	""	"5959745"	""
2013	"YR2013"	"Syrian Arab Republic"	"SYR"	""	"667202"	"36438.979"	"87.9677535795933"	"0"	"70.046"	"38.430507316834"	"19809141"	"47.471"	"185180"	""	"10405544"	""
