Time	"Time Code"	"Country Name"	"Country Code"	"Children out of school"	"CO2"	"NR electricity"	"Life expectancy"	"Population"	"Urban population"	"Area"	"GDP"	"Compulsory education"	"Labor force"	"Agricultural land"
2013	"YR2013"	"Niger"	"NER"	"38.9895401000977"	"0.105275362941766"	"99.4108983799705"	"58.727"	"18426372"	"16.208"	"1266700"	"416.139942380107"	""	"79.0780029296875"	"36.063787795058"
2013	"YR2013"	"Nigeria"	"NGA"	""	"0.571126416080498"	"81.5600872485545"	"52.121"	"171829303"	"46.118"	"910770"	"2996.96430245373"	"9"	"55.0989990234375"	"77.7364208307256"
2013	"YR2013"	"Northern Mariana Islands"	"MNP"	""	""	""	""	"54036"	"91.19"	"460"	"14508.8459545488"	""	""	"6.52173913043478"
2013	"YR2013"	"Norway"	"NOR"	"0.143270000815392"	"11.4501188375594"	"1.97856553998351"	"81.7512195121951"	"5079623"	"80.286"	"365245"	"103059.24822759"	"10"	"65"	"2.70265164478638"
2013	"YR2013"	"Oman"	"OMN"	"1.89575004577637"	"16.5374000297994"	"100"	"76.358"	"3711481"	"78.882"	"309500"	"21268.8362582213"	""	"66.7819976806641"	"4.74474959612278"
2013	"YR2013"	"Pakistan"	"PAK"	"30.1853504180908"	"0.904315983160111"	"64.1031553864484"	"65.927"	"181712595"	"35.613"	"770880"	"1272.44106100063"	"12"	"52.2840003967285"	"47.063096720631"
2013	"YR2013"	"Palau"	"PLW"	"0.884959995746613"	"12.2700764818356"	""	""	"20920"	"76.862"	"460"	"10768.1309751434"	"12"	""	"10.8695652173913"
2013	"YR2013"	"Panama"	"PAN"	"7.07648992538452"	"2.79243118728282"	"42.0741236883233"	"77.413"	"3838462"	"66.052"	"74340"	"11879.7565274842"	"11"	"66.2990036010742"	"30.3605057842346"
2013	"YR2013"	"Papua New Guinea"	"PNG"	""	"0.814742393022924"	""	"65.082"	"7592865"	"12.978"	"452860"	"2800.1690288491"	""	"70.6389999389648"	"2.62774367354149"
2013	"YR2013"	"Paraguay"	"PRY"	""	"0.840506113762694"	"0.00496845034033885"	"72.786"	"6465740"	"60.197"	"397300"	"4479.90585798851"	"13"	"71.2809982299805"	"54.580921218223"
2013	"YR2013"	"Peru"	"PER"	"4.22389984130859"	"1.86986825369967"	"46.1197441640306"	"74.298"	"30565716"	"76.989"	"1280000"	"6583.11624846311"	"14"	"77.963996887207"	"19.03828125"
2013	"YR2013"	"Philippines"	"PHL"	"2.58012008666992"	"0.996424570368028"	"73.5564531129594"	"68.68"	"98481032"	"45.903"	"298170"	"2760.28914608201"	"13"	"62.2949981689453"	"41.7211657779119"
2013	"YR2013"	"Poland"	"POL"	"4.36577987670898"	"7.94628250601022"	"89.5062857421566"	"77"	"38040196"	"60.529"	"306210"	"13781.0626053813"	"9"	"56.4710006713867"	"47.059207733255"
2013	"YR2013"	"Portugal"	"PRT"	"1.02471005916595"	"4.3440293115954"	"41.0891676890806"	"80.7219512195122"	"10457295"	"62.352"	"91600"	"21618.7353389663"	"9"	"59.2039985656738"	"40.5729257641921"
2013	"YR2013"	"Puerto Rico"	"PRI"	"16.2667407989502"	""	""	"79.1673902439024"	"3593077"	"93.686"	"8870"	"28513.1657351067"	"13"	"42.9230003356934"	"22.2886133032694"
2013	"YR2013"	"Qatar"	"QAT"	"6.32230997085571"	"37.7800853420592"	"100"	"77.739"	"2250473"	"98.785"	"11610"	"88304.8795754258"	"9"	"86.1539993286133"	"5.72782084409991"
2013	"YR2013"	"Romania"	"ROU"	""	"3.55016707872764"	"45.7308323083231"	"75.0634146341463"	"19983693"	"53.937"	"230030"	"9585.26659264653"	"10"	"54.4140014648438"	"60.4486371342868"
2013	"YR2013"	"Russian Federation"	"RUS"	"2.49411988258362"	"12.3935564747819"	"66.2408553795473"	"70.5787804878049"	"143506911"	"73.863"	"16376870"	"16007.0899934444"	"11"	"63.4360008239746"	"13.2406253453804"
2013	"YR2013"	"Rwanda"	"RWA"	""	"0.0725767773074222"	""	"65.598"	"11065151"	"16.947"	"24670"	"688.822349347357"	"6"	"86.7350006103516"	"74.6858532630726"
2013	"YR2013"	"Samoa"	"WSM"	""	"1.03806413395052"	""	"74.206"	"190757"	"19.385"	"2830"	"4219.0248616681"	"8"	"32.2360000610352"	"12.3674911660777"
2013	"YR2013"	"San Marino"	"SMR"	""	""	""	""	"32303"	"96.37"	"60"	"57746.1660696878"	"10"	""	"16.6666666666667"
2013	"YR2013"	"Sao Tome and Principe"	"STP"	"9.15707015991211"	"0.607752145205699"	""	"66.241"	"187045"	"68.208"	"960"	"1619.53267761188"	"6"	"58.125"	"50.7291666666667"
2013	"YR2013"	"Saudi Arabia"	"SAU"	"2.17371988296509"	"18.0683580838082"	"99.9996479083999"	"74.066"	"29944476"	"82.74"	"2149690"	"24934.3861423166"	"9"	"54.3489990234375"	"80.6139489879936"
2013	"YR2013"	"Senegal"	"SEN"	"26.4092597961426"	"0.596523237433712"	"87.7843302443134"	"65.914"	"14120320"	"45.019"	"192530"	"1051.75074536384"	"11"	"56.7649993896484"	"46.0603542305095"
2013	"YR2013"	"Serbia"	"SRB"	"3.65847992897034"	"6.26511069310281"	"73.9312208427869"	"75.1853658536585"	"7164132"	"55.469"	"87460"	"6353.82638279332"	"8"	"52.1370010375977"	"39.9176766521839"
2013	"YR2013"	"Seychelles"	"SYC"	""	"4.48443006592625"	""	"73.119512195122"	"89949"	"54.537"	"460"	"14764.9392855985"	"10"	""	"3.3695652173913"
2013	"YR2013"	"Sierra Leone"	"SLE"	"1.32085001468658"	"0.172170095140492"	""	"50.401"	"6922079"	"40.036"	"72180"	"710.81869984365"	"9"	"58.8019981384277"	"54.7055971183153"
2013	"YR2013"	"Singapore"	"SGP"	""	"10.3119819334926"	"97.135650107361"	"82.2463414634147"	"5399162"	"100"	"707"	"56389.1817840251"	"6"	"67.5220031738281"	"0.947666195190948"
2013	"YR2013"	"Sint Maarten (Dutch part)"	"SXM"	""	"19.5335591553528"	""	""	"36607"	"100"	"34"	""	"14"	""	""
2013	"YR2013"	"Slovak Republic"	"SVK"	""	"6.11280355961594"	"22.2627481237287"	"76.4121951219512"	"5413393"	"54.14"	"48088"	"18191.612786163"	"10"	"59.1980018615723"	"40.1035601397438"
2013	"YR2013"	"Slovenia"	"SVN"	"2.12182998657227"	"6.8695513926774"	"34.1071541526978"	"80.3219512195122"	"2059953"	"53.332"	"20140"	"23357.939198652"	"9"	"57.4329986572266"	"30.3053624627607"
2013	"YR2013"	"Solomon Islands"	"SLB"	"29.4307804107666"	"0.357906561161854"	""	"69.771"	"563513"	"21.433"	"27990"	"2004.89997880618"	""	"71.6600036621094"	"3.85852090032154"
2013	"YR2013"	"Somalia"	"SOM"	""	"0.04635286497488"	""	"55.072"	"13132349"	"42.117"	"627340"	"493.969094888298"	""	"45.9099998474121"	"70.3366595466573"
2013	"YR2013"	"South Africa"	"ZAF"	""	"8.67396282312054"	"93.7426932920471"	"59.83"	"53767396"	"63.793"	"1213090"	"6822.52475978107"	"9"	"53.2210006713867"	"79.830020855831"
2013	"YR2013"	"South Sudan"	"SSD"	""	"0.129587680239481"	"99.5762711864407"	"55.294"	"11177490"	"18.415"	""	"1336.64525605041"	"8"	"72.7699966430664"	""
2013	"YR2013"	"Spain"	"ESP"	"0.880630016326904"	"5.08439835268284"	"40.0188313880154"	"83.0780487804878"	"46620045"	"79.133"	"500210"	"29211.7737455935"	"10"	"58.9080009460449"	"53.4439535395134"
2013	"YR2013"	"Sri Lanka"	"LKA"	"3.51859998703003"	"0.75246091814428"	"40.1230973966564"	"74.741"	"20585000"	"18.198"	"62710"	"3609.14289485496"	"9"	"55.0410003662109"	"43.6931908786477"
2013	"YR2013"	"St. Kitts and Nevis"	"KNA"	""	"4.2070943594952"	""	""	"53169"	"30.964"	"260"	"14823.7485920158"	"12"	""	"23.0769230769231"
2013	"YR2013"	"St. Lucia"	"LCA"	""	"2.31718661049755"	""	"74.947"	"175660"	"18.461"	"610"	"8481.89052082938"	"10"	"67.5589981079102"	"17.3770491803279"
2013	"YR2013"	"St. Martin (French part)"	"MAF"	""	""	""	"79.1707317073171"	"31264"	""	"54.4"	""	""	""	""
2013	"YR2013"	"St. Vincent and the Grenadines"	"VCT"	"3.74460005760193"	"1.91199231613611"	""	"72.802"	"109320"	"50.154"	"390"	"6597.21138079169"	"12"	"69.5289993286133"	"25.6410256410256"
2013	"YR2013"	"Sudan"	"SDN"	""	"0.309100309482467"	"19.146246596655"	"63.712"	"36849918"	"33.507"	"2376000"	"1955.66079918474"	"8"	"46.9780006408691"	"28.7014141414141"
2013	"YR2013"	"Suriname"	"SUR"	"8.43397998809814"	"3.53493014339956"	"40.0641025641026"	"70.976"	"542540"	"66.14"	"156000"	"9484.56809775791"	"6"	"53.4860000610352"	"0.533333333333333"
2013	"YR2013"	"Sweden"	"SWE"	"0.325139999389648"	"4.67142078453361"	"1.69442792636786"	"81.9560975609756"	"9600379"	"85.936"	"407340"	"60283.24522267"	"9"	"63.8450012207031"	"7.48244709579221"
2013	"YR2013"	"Switzerland"	"CHE"	"0.367449998855591"	"4.97283587573087"	"1.18597206053551"	"82.7975609756098"	"8089346"	"73.674"	"39516"	"85112.4643984141"	"12"	"67.5599975585938"	"38.6096770928232"
2013	"YR2013"	"Syrian Arab Republic"	"SYR"	"32.7678489685059"	"1.83950323741953"	"87.9677535795933"	"70.046"	"19809141"	"52.529"	"183630"	""	"9"	"42.4910011291504"	"75.8100528236127"
2013	"YR2013"	"Tajikistan"	"TJK"	"2.45807003974915"	"0.425539774773414"	"0.25708442886357"	"70.477"	"8177809"	"26.589"	"139960"	"1040.21441228998"	"9"	"59.1839981079102"	"33.9382680765933"
2013	"YR2013"	"Tanzania"	"TZA"	"19.2375507354736"	"0.220730007616033"	"70.4931829658307"	"63.348"	"50636595"	"30.196"	"885800"	"901.731430290916"	"7"	"83.4759979248047"	"44.7617972454279"
